OBJECTID,the_geom,LandmarkNo,Name,Address,LargePhoto,Thumbnail,YearBuilt,Architect,Designer,Parcel,Designatio,PIMLink,Latitude,Longitude
1,MULTIPOINT ((-122.42698099999996 37.76430800000003)),1,MISSION SAN FRANCISCO DE ASIS,310-320 DOLORES ST,http://sfplanninggis.org/Preservation/Landmarks/Large/1.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/1.jpg,1782-91,,,3566/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM1.pdf,http://propertymap.sfplanning.org?search=3566/001,37.764308,-122.426981
2,MULTIPOINT ((-122.40572699999996 37.792831000000035)),2,OLD ST. MARY'S CHURCH,660-680 CALIFORNIA ST,http://sfplanninggis.org/Preservation/Landmarks/Large/2.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/2.jpg,1853-54,CRAINE & ENGLAND,,0241/012,http://sfplanninggis.org/docs/landmarks_and_districts/LM2.pdf,http://propertymap.sfplanning.org?search=0241/012,37.792831,-122.405727
3,MULTIPOINT ((-122.40145899999999 37.793304000000035)),3,BANK OF CALIFORNIA,400 CALIFORNIA ST,http://sfplanninggis.org/Preservation/Landmarks/Large/3.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/3.jpg,1906/1908,BLISS & FAVILLE,,0239/003,http://sfplanninggis.org/docs/landmarks_and_districts/LM3.pdf,http://propertymap.sfplanning.org?search=0239/003,37.793304,-122.401459
4,MULTIPOINT ((-122.403528 37.78554100000008)),4,SAINT PATRICK'S CHURCH & RECTORY,748 MISSION ST,http://sfplanninggis.org/Preservation/Landmarks/Large/4.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/4.jpg,1872;ca.1926,G.P. CUMMINGS,,3706/068,http://sfplanninggis.org/docs/landmarks_and_districts/LM4.pdf,http://propertymap.sfplanning.org?search=3706/068,37.785541,-122.403528
5,MULTIPOINT ((-122.403528 37.78554100000008)),4,SAINT PATRICKS CATHEDRAL,748 MISSION STREET,http://sfplanninggis.org/Preservation/Landmarks/Large/4.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/4.jpg,1872;ca.1926,G.P. CUMMINGS,,3706/068,http://sfplanninggis.org/docs/landmarks_and_districts/LM4.pdf,http://propertymap.sfplanning.org?search=3706/068,37.785541,-122.403528
6,MULTIPOINT ((-122.40770299999997 37.799000000000035)),5,ST. FRANCIS OF ASSISI CHURCH,620-624 VALLEJO ST,http://sfplanninggis.org/Preservation/Landmarks/Large/5.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/5.jpg,1857-60,,,0131/009,http://sfplanninggis.org/docs/landmarks_and_districts/LM5.pdf,http://propertymap.sfplanning.org?search=0131/009,37.799,-122.407703
7,MULTIPOINT ((-122.43791699999997 37.78101600000008)),6,OLD ST PATRICK'S CHURCH,1820 EDDY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/6.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/6.jpg,1854,,,1127/007A,http://sfplanninggis.org/docs/landmarks_and_districts/LM6.pdf,http://propertymap.sfplanning.org?search=1127/007A,37.781016,-122.437917
8,MULTIPOINT ((-122.39276099999995 37.79332000000005)),7,AUDIFFRED BUILDING,1-21 MISSION ST,http://sfplanninggis.org/Preservation/Landmarks/Large/7.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/7.jpg,1889,,,3715/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM7.pdf,http://propertymap.sfplanning.org?search=3715/001,37.79332,-122.392761
9,MULTIPOINT ((-122.39017199999995 37.73500400000006)),8,,4701 03RD ST,http://sfplanninggis.org/Preservation/Landmarks/Large/8.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/8.jpg,,,,5311/036,http://sfplanninggis.org/docs/landmarks_and_districts/LM8.pdf,http://propertymap.sfplanning.org?search=5311/036,37.735004,-122.390172
10,MULTIPOINT ((-122.39017199999995 37.73500400000006)),8,SOUTH S.F. OPERA HOUSE & MASONIC HALL,1601-4701 NEWCOMB AV,http://sfplanninggis.org/Preservation/Landmarks/Large/8.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/8.jpg,,,,5311/036,http://sfplanninggis.org/docs/landmarks_and_districts/LM8.pdf,http://propertymap.sfplanning.org?search=5311/036,37.735004,-122.390172
